title,url,time,source,file_type,file_type_2
安装作业申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609375/page.htm,2023-07-25,保卫与校园管理处,,
中国科学技术大学确有必要校外人员、车辆进校申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609303/page.htm,2023-07-25,保卫与校园管理处,,
特种车辆及大型货车入校备案表,https://bwc.ustc.edu.cn/2022/0921/c5655a570603/page.htm,2022-09-21,保卫与校园管理处,,
在校期间无违纪违规记录证明申请表,https://bwc.ustc.edu.cn/2022/0920/c5655a570286/page.htm,2022-09-20,保卫与校园管理处,,
机动车车辆通行证申请表,https://bwc.ustc.edu.cn/2022/0919/c5655a570129/page.htm,2022-09-19,保卫与校园管理处,,
中国科学技术大学体育活动场馆使用申请表,https://bwc.ustc.edu.cn/2022/0919/c5655a570127/page.htm,2022-09-19,保卫与校园管理处,,
中国科学技术大学大型会议场馆使用申请表,https://bwc.ustc.edu.cn/2020/1214/c5655a463555/page.htm,2022-05-19,保卫与校园管理处,,
中国科大无人机使用申请表,https://bwc.ustc.edu.cn/2022/0506/c5655a553683/page.htm,2022-05-03,保卫与校园管理处,,
中国科学技术大学宣广信息发布管理办法,https://bwc.ustc.edu.cn/2021/0421/c5655a481480/page.htm,2021-04-21,保卫与校园管理处,,
中国科学技术大学重点监管物品备案表,https://bwc.ustc.edu.cn/_upload/article/files/cb/76/2059f54d41a5bfa72e1a5e4d0a5d/P020170505643345529205.docx,2017-05-05,保卫与校园管理处,,
居住证办理申请,https://bwc.ustc.edu.cn/2015/0624/c5655a54690/page.htm,2015-06-24,保卫与校园管理处,,
身份证补办申请,https://bwc.ustc.edu.cn/2015/0415/c5655a54684/page.htm,2015-04-15,保卫与校园管理处,,
委托书,https://bwc.ustc.edu.cn/2014/0821/c5655a54681/page.htm,2014-08-21,保卫与校园管理处,,
恢复户口申请,https://bwc.ustc.edu.cn/2014/0821/c5655a54679/page.htm,2014-08-21,保卫与校园管理处,,
赋权申请材料,http://zhb.ustc.edu.cn/2023/0509/c18534a601738/page.htm,2023-05-09,科技成果转移转化办公室,,
科技成果转移转化办公室用印申请审批单,http://zhb.ustc.edu.cn/2020/0309/c18534a414229/page.htm,2020-03-09,科技成果转移转化办公室,,
民口横向科学研究项目投标承诺书,http://zhb.ustc.edu.cn/2020/0623/c18534a432486/page.htm,2020-06-23,科技成果转移转化办公室,,
（民口横向科研项目）模板-技术开发合同,http://zhb.ustc.edu.cn/2020/0108/c18534a411347/page.htm,2020-01-08,科技成果转移转化办公室,,
（民口横向科研项目）模板-技术服务合同,http://zhb.ustc.edu.cn/2020/0108/c18534a411346/page.htm,2020-01-08,科技成果转移转化办公室,,
（民口横向科研项目）模板-技术咨询合同,http://zhb.ustc.edu.cn/2020/0108/c18534a411345/page.htm,2020-01-08,科技成果转移转化办公室,,
中国科学技术大学职务专利申请登记表,http://zhb.ustc.edu.cn/2020/0408/c18534a417909/page.htm,2020-04-08,科技成果转移转化办公室,,
专利申请技术交底书模板,http://zhb.ustc.edu.cn/2019/1007/c18534a402937/page.htm,2019-10-24,科技成果转移转化办公室,,
中国科学技术大学职务计算机软件著作权登记申请表,http://zhb.ustc.edu.cn/2019/1007/c18534a402938/page.htm,2019-10-24,科技成果转移转化办公室,,
计算机软件著作权信息采集表,http://zhb.ustc.edu.cn/2023/0330/c18534a597064/page.htm,2023-03-30,科技成果转移转化办公室,,
